bedrooms,rent,sqft,date,longitude,latitude
3.0,2250.0,,2014-06-02,-73.16516899999998,40.923111
6.0,372.0,,2014-06-19,-98.6339,43.4507
2.0,435.0,,2014-05-30,-76.89,34.8968
,,,2014-05-22,-74.2789,40.8545
4.0,1300.0,1550.0,2014-06-25,-96.0371,41.1523
1.0,1305.0,,2014-05-22,-74.0303,40.6251
2.0,1200.0,,2014-05-13,-80.0794,26.5747
3.0,1769.0,,2014-05-23,-80.2745,26.1502
2.0,630.0,925.0,2014-06-18,-86.0495,39.7821
2.0,1550.0,475.0,2014-05-27,-157.79180300000004,21.280617000000003
1.0,950.0,800.0,2014-05-30,-116.541847,33.816142
3.0,525.0,,2014-06-01,-74.8357,42.4711
2.0,900.0,1232.0,2014-06-11,-82.4455,28.0772
2.0,650.0,,2014-05-20,-81.5882,30.348000000000003
2.0,1585.0,,2014-05-14,-121.996951,36.970638
2.0,951.0,,2014-06-13,-116.30786299999998,33.75816
2.0,840.0,1250.0,2014-05-16,-77.483168,37.475077
1.0,1650.0,,2014-06-09,-122.017001,37.554234
1.0,925.0,,2014-06-02,-87.72564399999997,41.975436
3.0,750.0,,2014-05-19,-87.615749,41.781933
1.0,640.0,,2014-06-22,-98.614031,29.530528000000004
3.0,885.0,1224.0,2014-07-05,-115.285206,36.058397
2.0,3400.0,825.0,2014-05-11,-71.08046999999998,42.345509
3.0,830.0,1340.0,2014-06-20,-84.3189,30.4874
3.0,1428.0,1560.0,2014-06-11,-93.6404,32.5137
2.0,500.0,,2014-06-26,-121.748795,42.187973
,1050.0,,2014-05-23,-74.076051,40.72151
2.0,625.0,,2014-06-14,-106.581108,31.847343
2.0,885.0,960.0,2014-05-27,-97.072319,32.76582
,,,2014-05-13,-84.898,32.4779
3.0,1050.0,1400.0,2014-06-16,-70.55733199999997,44.55265
1.0,975.0,650.0,2014-05-16,-118.590806,34.23050300000001
4.0,1400.0,1700.0,2014-05-28,-76.149315,36.794114
3.0,650.0,1000.0,2014-06-04,-114.597793,32.701446999999995
2.0,3353.0,1100.0,2014-06-23,-122.27,37.5538
2.0,812.0,,2014-05-19,-83.066086,42.354983
3.0,3275.0,1305.0,2014-05-15,-121.88758,37.707435
3.0,1007.0,1146.0,2014-05-13,-94.7799,38.9553
1.0,1350.0,800.0,2014-07-03,-117.954791,33.742979
3.0,1650.0,1712.0,2014-05-19,-83.720455,42.221907
1.0,790.0,795.0,2014-05-12,-96.803455,32.986873
,795.0,,2014-06-19,-117.033989,32.767297
2.0,1895.0,,2014-05-12,-87.65928000000002,41.945657
1.0,2564.0,769.0,2014-05-19,-87.648453,41.907932
2.0,1045.0,1241.0,2014-05-28,-91.576431,41.64392700000001
2.0,2100.0,700.0,2014-06-20,-73.926659,40.702667
2.0,585.0,610.0,2014-05-17,-81.52529100000002,41.572641
2.0,2900.0,,2014-06-02,-71.12021,42.34257
2.0,650.0,,2014-05-13,-76.190143,42.588557
3.0,1100.0,1216.0,2014-07-07,-116.318473,43.646273
,,,2014-05-28,-97.6707,30.633000000000003
2.0,580.0,750.0,2014-05-14,-115.19536,36.137309
2.0,2200.0,,2014-05-19,-119.751745,34.442008
1.0,1650.0,900.0,2014-06-20,-75.1473,39.9474
3.0,1485.0,1220.0,2014-05-21,-95.240393,38.962612
2.0,775.0,969.0,2014-06-25,-119.213333,46.271868
1.0,514.0,640.0,2014-05-16,-110.824,32.2138
2.0,1799.0,988.0,2014-06-19,-117.883609,33.89794000000001
3.0,850.0,1008.0,2014-06-20,-83.571453,42.232474
2.0,1536.0,850.0,2014-05-13,-117.770491,34.07571
1.0,499.0,,2014-06-14,-110.877628,32.251135999999995
2.0,2500.0,,2014-05-28,-80.189713,25.761827
4.0,1600.0,,2014-05-12,-80.3918,25.5303
2.0,1245.0,886.0,2014-05-14,-76.881552,38.842398
1.0,725.0,,2014-05-22,-87.75108399999998,41.955094
1.0,249.0,,2014-07-03,-95.428762,29.981689000000006
1.0,3021.0,,2014-05-20,-71.102478,42.36035
1.0,579.0,600.0,2014-06-13,-90.374243,38.739942
1.0,750.0,650.0,2014-05-27,-104.990866,39.723395
3.0,1100.0,2422.0,2014-07-07,-106.797087,32.269698
3.0,3950.0,,2014-05-27,-73.935671,40.802879
,1075.0,517.0,2014-06-02,-80.0388,26.7206
3.0,1200.0,2300.0,2014-05-20,-83.180071,42.467079
3.0,1200.0,1625.0,2014-06-22,-82.02463,26.653979
,965.0,,2014-05-30,-82.3516,34.8285
2.0,850.0,,2014-06-11,-98.5697,29.5042
,,,2014-05-18,-97.73899999999999,30.3223
,,,2014-05-27,-84.3888,33.7525
1.0,580.0,671.0,2014-07-05,-84.398878,39.517112
2.0,2700.0,,2014-05-23,-71.102278,42.394691
,425.0,,2014-06-20,-117.179798,46.738448
2.0,1686.0,1000.0,2014-06-27,-122.15513,47.617321
3.0,925.0,1100.0,2014-05-31,-71.348648,41.888237
2.0,4100.0,1006.0,2014-06-14,-122.405598,37.804489
3.0,950.0,,2014-05-17,-75.0293,39.3673
1.0,750.0,,2014-05-17,-80.1814,25.9571
1.0,1199.0,,2014-05-24,-73.89407299999998,40.875588
1.0,975.0,750.0,2014-06-12,-121.431298,38.597678
2.0,1175.0,942.0,2014-05-25,-96.772517,32.913677
2.0,795.0,975.0,2014-06-16,-71.457202,42.989769
2.0,597.0,1230.0,2014-05-28,-86.227913,32.327612
1.0,535.0,678.0,2014-05-16,-96.956549,30.183565
1.0,3724.0,,2014-05-20,-122.4147,37.7725
2.0,695.0,1200.0,2014-05-20,-79.01485699999998,35.091337
2.0,2540.0,1065.0,2014-07-06,-118.267972,34.040214
2.0,950.0,1127.0,2014-07-02,-115.1462,36.0383
,625.0,,2014-06-17,-123.078482,44.040247
3.0,742.0,,2014-06-30,-117.2944,34.5016
,405.0,288.0,2014-05-27,-82.820661,39.918297
,,,2014-05-14,-81.579026,30.327816
2.0,1000.0,1248.0,2014-06-06,-116.917414,33.932673
1.0,795.0,,2014-05-22,-71.140615,42.656615
2.0,1900.0,,2014-06-25,-122.289713,37.807705
2.0,600.0,700.0,2014-05-14,-83.058764,42.455554
2.0,1215.0,1568.0,2014-05-23,-94.751647,39.012582
3.0,625.0,,2014-05-28,-79.018765,43.086949
1.0,1200.0,,2014-05-20,-87.748232,41.953746
3.0,2195.0,,2014-06-01,-73.936406,40.671774
1.0,3295.0,1825.0,2014-05-27,-117.86562,33.774439
,,,2014-05-20,-117.30961,34.166057
2.0,1800.0,,2014-06-24,-73.924185,40.692901
2.0,940.0,1102.0,2014-05-14,-111.876494,33.332278
2.0,657.0,832.0,2014-07-03,-95.0202,30.33
1.0,,657.0,2014-05-20,-97.756863,30.484036
3.0,695.0,1100.0,2014-05-13,-85.64872700000002,40.106831
4.0,1000.0,,2014-05-23,-87.71810500000002,41.959043
1.0,2200.0,,2014-06-01,-71.114983,42.39141400000001
2.0,870.0,,2014-06-24,-115.282309,36.19672
3.0,650.0,900.0,2014-06-02,-86.86500799999997,40.410035
1.0,1800.0,,2014-05-16,-80.1564,25.7873
2.0,714.0,860.0,2014-05-28,-112.108119,33.666854
1.0,1850.0,,2014-05-22,-71.12904,42.33848
1.0,1.0,,2014-06-24,-80.1895,25.7629
1.0,2365.0,,2014-06-24,-71.11998299999998,42.379983
1.0,3200.0,958.0,2014-06-21,-80.136028,25.773788
1.0,550.0,750.0,2014-06-11,-110.971463,32.324257
3.0,3100.0,1708.0,2014-05-27,-157.8115,21.4228
,1000.0,,2014-05-27,-87.572536,41.853069
2.0,715.0,1200.0,2014-06-22,-88.975503,42.711327
3.0,1195.0,1857.0,2014-07-02,-110.826063,32.198632
3.0,1495.0,,2014-06-21,-93.348213,45.090572
4.0,1650.0,2799.0,2014-05-22,-115.2801,36.1128
2.0,2100.0,,2014-06-24,-80.1118,26.1656
3.0,1300.0,1200.0,2014-05-19,-80.417396,37.254397
,,,2014-06-26,-108.62251299999998,45.752792
3.0,,,2014-06-02,-115.098277,36.182126
2.0,725.0,947.0,2014-05-29,-117.299794,34.406229
1.0,1050.0,,2014-06-02,-87.67285600000002,41.968931
3.0,800.0,1000.0,2014-06-23,-87.9933,42.9559
2.0,600.0,,2014-06-02,-90.292039,38.511051
1.0,,,2014-06-16,-98.6006,29.5189
2.0,650.0,950.0,2014-06-24,-92.268527,34.738985
3.0,1200.0,,2014-06-01,-74.21075400000002,40.739466
1.0,1590.0,,2014-05-16,-87.6336,41.9033
1.0,1275.0,,2014-06-23,-74.03958,40.756587
3.0,2750.0,,2014-05-20,-87.677054,41.892232
3.0,1400.0,1480.0,2014-07-10,-122.277214,45.40805
2.0,750.0,1000.0,2014-05-30,-91.037664,30.402936
2.0,850.0,960.0,2014-06-23,-121.3287,38.6284
2.0,1795.0,2101.0,2014-05-27,-82.405023,27.098884
1.0,599.0,607.0,2014-06-20,-83.658834,41.654395
2.0,1955.0,985.0,2014-06-18,-95.446815,29.716681
2.0,1750.0,1128.0,2014-06-19,-117.706762,33.876255
3.0,1295.0,2000.0,2014-07-09,-111.9193,40.6596
1.0,2200.0,450.0,2014-06-22,-74.35,40.8742
1.0,500.0,850.0,2014-07-02,-95.689373,39.005112
1.0,1675.0,,2014-05-24,-73.8602,40.7278
,1495.0,,2014-05-16,-71.150808,42.34005300000001
4.0,1100.0,1440.0,2014-06-09,-120.474122,37.324987
3.0,2190.0,1600.0,2014-05-21,-87.761339,41.967647
2.0,1060.0,990.0,2014-06-25,-95.434906,29.808011
1.0,2200.0,,2014-05-23,-87.65685500000002,41.945532
2.0,699.0,1021.0,2014-05-20,-96.6938,40.7893
,,,2014-05-21,-84.3307,39.2692
1.0,559.0,752.0,2014-05-27,-81.406159,40.89817100000001
2.0,2600.0,,2014-06-24,-122.094471,37.396751
3.0,999.0,,2014-05-26,-84.2388,33.8101
1.0,1124.0,597.0,2014-05-17,-96.771081,32.845553
2.0,1600.0,,2014-06-01,-80.3549,25.8141
3.0,950.0,1800.0,2014-05-15,-86.817098,33.324038
3.0,2400.0,,2014-05-15,-71.132518,42.350666
2.0,1200.0,1214.0,2014-05-28,-111.99139,33.598915000000005
2.0,1045.0,986.0,2014-05-23,-121.360184,38.019252
1.0,870.0,935.0,2014-06-11,-96.804013,32.934929
1.0,635.0,,2014-05-13,-75.04679399999998,40.04117
2.0,1550.0,1200.0,2014-06-24,-87.681606,41.902932
2.0,1815.0,1023.0,2014-05-20,-79.866683,32.793213
3.0,2195.0,1610.0,2014-05-16,-75.1866,40.0547
3.0,950.0,1150.0,2014-05-12,-114.59701499999998,32.692771
3.0,1200.0,1389.0,2014-05-31,-81.37529599999998,28.344104
,,,2014-05-27,-82.3698,27.8411
2.0,850.0,1100.0,2014-05-28,-78.469913,38.080274
3.0,898.0,1149.0,2014-05-27,-81.2571,28.5469
2.0,1180.0,968.0,2014-05-30,-117.140282,33.505794
2.0,2800.0,,2014-05-19,-70.2589,43.6606
2.0,3400.0,,2014-05-12,-71.0768,42.3492
5.0,3400.0,,2014-06-24,-71.096915,42.389508
2.0,1299.0,,2014-05-17,-73.923608,40.661663
4.0,2295.0,2298.0,2014-07-13,-117.431581,34.11701
1.0,475.0,,2014-06-18,-117.281799,47.684401
2.0,1260.0,912.0,2014-05-11,-96.6777,33.0277
1.0,792.0,554.0,2014-07-11,-121.356354,38.768352
2.0,1340.0,1372.0,2014-05-27,-85.501699,38.234337
2.0,800.0,1069.0,2014-06-24,-115.031641,36.079245
1.0,1586.0,780.0,2014-05-21,-121.4922,38.5804
3.0,995.0,1500.0,2014-06-02,-76.309722,36.822313
,2060.0,732.0,2014-06-21,-87.636225,41.886509
2.0,690.0,1000.0,2014-05-12,-81.86384100000002,26.608451
3.0,1495.0,,2014-05-14,-94.427589,39.054803
2.0,1450.0,1000.0,2014-06-09,-117.309136,33.251501
2.0,2700.0,1200.0,2014-05-28,-80.1219,26.006999999999998
1.0,1275.0,,2014-05-24,-76.941325,38.897517
1.0,400.0,,2014-05-22,-95.9639,41.2647
3.0,1650.0,1742.0,2014-07-12,-104.788799,39.55399
1.0,1374.0,710.0,2014-06-18,-117.315114,33.953457
1.0,650.0,700.0,2014-05-19,-93.733868,32.480826
,,,2014-05-22,-114.039149,35.187169
2.0,785.0,865.0,2014-06-18,-112.09559099999998,33.519462
1.0,590.0,739.0,2014-06-01,-80.76109100000002,35.21168400000001
2.0,788.0,896.0,2014-06-25,-86.209567,41.711479
1.0,600.0,,2014-05-21,-75.107778,40.029805
2.0,820.0,838.0,2014-05-24,-111.883193,33.414862
,1375.0,,2014-06-21,-82.64931,27.770491
1.0,810.0,877.0,2014-06-20,-80.169275,32.970202
2.0,800.0,800.0,2014-05-22,-105.03881,39.008779
1.0,655.0,800.0,2014-05-14,-106.555408,31.836831
3.0,3300.0,,2014-05-29,-71.114407,42.389352
1.0,1000.0,,2014-05-20,-80.08807900000002,26.252192
3.0,1000.0,,2014-06-17,-82.10977700000002,39.333934
4.0,2995.0,3345.0,2014-06-18,-121.371071,37.972899
1.0,399.0,550.0,2014-06-14,-95.858182,36.104509
2.0,2300.0,1800.0,2014-06-02,-87.71045600000002,41.917332
3.0,1420.0,1632.0,2014-05-20,-84.34675899999998,33.799055
1.0,882.0,772.0,2014-05-27,-82.340727,34.803867
1.0,750.0,,2014-05-13,-72.713438,41.7658
2.0,475.0,,2014-05-13,-79.667059,36.350698
2.0,1400.0,,2014-05-12,-118.538446,34.208395
2.0,1850.0,,2014-05-12,-71.05330699999998,42.331996
1.0,745.0,655.0,2014-05-14,-93.0488,44.9684
2.0,1115.0,980.0,2014-06-02,-104.908133,39.70032
2.0,710.0,747.0,2014-05-24,-115.029488,36.02930900000001
2.0,680.0,866.0,2014-05-17,-96.0251,36.064
2.0,2300.0,1046.0,2014-05-19,-117.386383,33.196949
2.0,1345.0,1059.0,2014-07-01,-122.213096,47.980117
3.0,,1799.0,2014-05-20,-118.3865,34.1872
2.0,6995.0,1850.0,2014-05-11,-71.075232,42.354685
1.0,595.0,,2014-05-24,-111.9261,33.4227
3.0,1195.0,1703.0,2014-05-23,-81.12949499999998,28.517026
3.0,1550.0,2072.0,2014-06-17,-88.25901,40.11072
2.0,1199.0,1156.0,2014-07-08,-104.7734,38.9129
4.0,3500.0,,2014-05-22,-73.921566,40.703264
1.0,1680.0,1050.0,2014-07-02,-83.770484,42.24916
3.0,1498.0,1373.0,2014-05-17,-122.799276,45.389603
2.0,2500.0,,2014-05-29,-73.995098,40.663272
2.0,625.0,800.0,2014-05-21,-117.433975,47.646358
,,,2014-05-13,-79.9319,40.4525
2.0,995.0,686.0,2014-05-20,-122.616252,45.644438
2.0,615.0,1000.0,2014-06-08,-81.720624,30.247443
2.0,1783.0,1114.0,2014-06-24,-96.801741,32.796329
,525.0,575.0,2014-06-21,-96.017952,41.226266
8.0,469.0,,2014-06-14,-115.6948,32.7941
1.0,755.0,,2014-05-13,-79.932148,40.474673
1.0,2000.0,867.0,2014-05-13,-80.224473,25.738384
4.0,463.0,,2014-06-21,-96.4952,31.6784
2.0,840.0,,2014-06-02,-117.5513,47.6289
1.0,619.0,696.0,2014-07-01,-112.244487,33.580894
1.0,1750.0,596.0,2014-05-23,-77.0529,38.806
2.0,,,2014-05-13,-91.127329,40.41781
2.0,770.0,950.0,2014-05-27,-82.268028,34.731509
1.0,735.0,870.0,2014-05-15,-96.1188,41.2335
3.0,1100.0,,2014-06-01,-72.755177,41.673915
1.0,700.0,700.0,2014-06-11,-119.7061,36.7528
,1550.0,,2014-05-20,-71.066911,42.361141
,750.0,600.0,2014-05-20,-90.110421,29.974805
3.0,1995.0,,2014-06-13,-117.034183,32.627369
3.0,1350.0,1600.0,2014-07-08,-96.5858,39.1938
2.0,2045.0,,2014-05-13,-71.180205,42.475072
2.0,869.0,896.0,2014-07-01,-111.940141,33.383373
3.0,2900.0,,2014-05-23,-73.936164,40.706523
1.0,1360.0,800.0,2014-06-17,-117.008484,32.802581
3.0,1085.0,1200.0,2014-05-16,-79.929261,40.486148
,,,2014-05-16,-96.6773,33.1186
2.0,450.0,,2014-05-12,-83.3525,33.9321
3.0,800.0,,2014-07-04,-95.52983,29.808006
1.0,1895.0,696.0,2014-06-11,-122.32406,47.680426
3.0,1945.0,1300.0,2014-05-16,-122.339802,47.715999
,450.0,,2014-07-02,-89.0833,42.301
2.0,2100.0,1000.0,2014-05-28,-87.624147,41.867129
1.0,,1182.0,2014-06-11,-98.4194,29.5395
2.0,677.0,850.0,2014-05-21,-81.632,30.2908
,1125.0,642.0,2014-06-11,-117.209079,34.047839
2.0,1650.0,780.0,2014-05-25,-122.649712,45.559179
1.0,630.0,625.0,2014-05-14,-85.603409,38.18643
3.0,1575.0,1997.0,2014-06-25,-119.707096,37.334986
4.0,1695.0,2400.0,2014-05-14,-84.478512,42.086408
2.0,1998.0,900.0,2014-05-15,-71.143109,42.343878
1.0,3400.0,657.0,2014-05-24,-122.426309,37.769603
2.0,1626.0,1000.0,2014-06-08,-122.179932,47.583861
,1044.0,,2014-05-12,-87.582124,41.794487
2.0,655.0,850.0,2014-05-14,-106.533842,31.831886
,1290.0,,2014-06-20,-75.282614,40.097896
2.0,500.0,800.0,2014-05-20,-80.000833,32.901038
4.0,1900.0,2237.0,2014-05-12,-80.438,25.4906
2.0,800.0,,2014-06-02,-93.718826,41.589059000000006
1.0,496.0,,2014-05-22,-111.75516100000002,32.896885
2.0,1150.0,1276.0,2014-05-17,-82.424277,27.04437
1.0,1200.0,800.0,2014-05-27,-105.043867,39.765814
1.0,749.0,325.0,2014-05-23,-78.9705,35.0257
2.0,1295.0,1144.0,2014-06-16,-93.466196,45.018887
3.0,1315.0,1250.0,2014-06-11,-76.4096,37.0462
3.0,795.0,,2014-05-29,-71.420103,41.814305
3.0,1250.0,1635.0,2014-05-23,-97.3372,32.9557
2.0,2950.0,,2014-05-20,-118.37200000000001,34.0737
1.0,1525.0,934.0,2014-05-21,-117.756597,33.71535
3.0,1300.0,,2014-05-31,-77.405631,37.537432
1.0,810.0,800.0,2014-05-19,-72.730152,41.755531
2.0,930.0,1012.0,2014-05-19,-98.609798,29.498143
4.0,2500.0,1800.0,2014-06-02,-117.196655,32.857462
2.0,1251.0,956.0,2014-06-11,-105.037172,40.543955
2.0,3102.0,1055.0,2014-06-27,-122.016671,37.38574000000001
2.0,3535.0,1690.0,2014-05-21,-73.97279300000002,40.82635300000001
2.0,590.0,750.0,2014-06-24,-90.27,38.7196
1.0,855.0,720.0,2014-05-30,-92.027971,30.210995
2.0,2950.0,,2014-06-23,-71.0768,42.3492
2.0,675.0,,2014-06-23,-122.2383,40.1795
2.0,1100.0,1400.0,2014-07-03,-94.8246,38.7631
2.0,905.0,1074.0,2014-05-15,-78.9604,35.7725
2.0,1175.0,900.0,2014-05-12,-72.2955,42.9627
,,,2014-05-18,-98.1832,26.2792
1.0,1795.0,820.0,2014-05-27,-122.320001,47.625246
1.0,950.0,1500.0,2014-05-20,-76.571779,39.281358
5.0,1400.0,,2014-06-02,-87.635747,41.676034
2.0,774.0,,2014-05-28,-90.360259,38.663816
1.0,959.0,700.0,2014-05-14,-122.255289,47.376333
1.0,690.0,700.0,2014-06-28,-92.479377,44.025163
1.0,3750.0,970.0,2014-06-24,-75.1661,39.9489
,780.0,,2014-07-08,-119.794677,36.837455
2.0,3100.0,,2014-05-19,-87.638953,41.918432
,,,2014-05-15,-74.2198,40.7558
1.0,975.0,579.0,2014-05-20,-96.817577,32.791392
3.0,1895.0,,2014-06-23,-75.3304,40.1245
3.0,3000.0,,2014-05-11,-73.921631,40.700675
3.0,1800.0,1200.0,2014-07-13,-117.20063,33.154727
3.0,1100.0,1413.0,2014-05-29,-114.482832,42.549675
2.0,1595.0,900.0,2014-05-30,-122.328109,47.677499
2.0,1400.0,,2014-06-24,-84.413495,33.800618
2.0,1195.0,1200.0,2014-05-29,-81.940155,26.563349
,,,2014-06-02,-78.6923,43.16
4.0,1995.0,1410.0,2014-06-16,-116.988763,32.747796
2.0,1135.0,1239.0,2014-06-20,-80.07196400000002,32.81707
2.0,1950.0,,2014-05-23,-117.254814,32.809575
1.0,585.0,,2014-06-23,-98.457513,29.45568
2.0,1071.0,,2014-05-27,-117.1153,32.696999999999996
1.0,469.0,,2014-05-22,-110.82,32.2519
1.0,1497.0,764.0,2014-05-13,-117.5941,34.107
,790.0,642.0,2014-05-31,-76.391799,37.052447
4.0,1250.0,2039.0,2014-06-18,-110.707061,32.060973
3.0,1500.0,1860.0,2014-06-20,-84.3854,39.1539
2.0,1250.0,1532.0,2014-07-12,-119.824422,39.520619
,,,2014-05-29,-98.4975,29.5334
1.0,,,2014-05-15,-98.6006,29.5189
2.0,850.0,1080.0,2014-06-18,-91.018646,30.401787
2.0,715.0,970.0,2014-05-19,-96.607668,39.190113
,990.0,,2014-05-27,-80.1446,25.8486
4.0,6500.0,,2014-05-12,-73.94891,40.773197
2.0,2850.0,,2014-05-20,-74.03708,40.742519
2.0,957.0,900.0,2014-05-23,-104.791773,38.949919
1.0,350.0,,2014-06-24,-81.619,41.4509
1.0,2395.0,,2014-05-19,-74.009013,40.77877
2.0,925.0,975.0,2014-06-11,-90.929549,30.208768
,,,2014-05-12,-118.0371,34.0791
3.0,5200.0,1900.0,2014-05-24,-87.614594,41.887167
